timestamp,http_method,endpoint,query_params_count,user_agent,authorization_present,ip_hash,content_length_bytes,num_fields,avg_field_length,failed_auth_attempts_last_10min,suspicious_patterns_detected,statusCode,duration_ms,responseSize,label_attack
2025-08-20T19:04:11.173Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,3,"authorization_header_present,suspicious_quotes_or_escape",200,34.96,14360,0
2025-08-20T19:04:11.223Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,50,2,9.0,2,suspicious_quotes_or_escape,403,16.93,44,1
2025-08-20T19:04:11.250Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,50,2,9.0,1,suspicious_quotes_or_escape,201,158.77,244,1
2025-08-20T19:04:11.414Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,69,3,8.333333333333334,4,"authorization_header_present,suspicious_quotes_or_escape",429,4.61,62,1
2025-08-20T19:04:11.426Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,4,"authorization_header_present,suspicious_quotes_or_escape",429,5.9,62,1
2025-08-20T19:04:11.443Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,50,2,9.0,3,suspicious_quotes_or_escape,403,20.18,44,1
2025-08-20T19:04:11.473Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,50,2,9.0,2,suspicious_quotes_or_escape,201,160.16,244,1
2025-08-20T19:04:11.642Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,69,3,8.333333333333334,1,"authorization_header_present,suspicious_quotes_or_escape",500,30.66,46,1
2025-08-20T19:04:11.681Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,1,"authorization_header_present,suspicious_quotes_or_escape",200,26.45,14360,0
2025-08-20T19:04:11.719Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,50,2,9.0,4,suspicious_quotes_or_escape,429,9.3,62,1
2025-08-20T19:04:11.742Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,50,2,9.0,3,suspicious_quotes_or_escape,201,164.67,244,1
2025-08-20T19:04:11.913Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,69,3,8.333333333333334,2,"authorization_header_present,suspicious_quotes_or_escape",500,50.44,46,1
2025-08-20T19:04:11.990Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,2,"authorization_header_present,suspicious_quotes_or_escape",200,28.43,14360,0
2025-08-20T19:04:12.044Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,1,suspicious_quotes_or_escape,403,35.88,44,1
2025-08-20T19:04:12.088Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,4,suspicious_quotes_or_escape,429,27.79,62,1
2025-08-20T19:04:12.194Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,2,suspicious_quotes_or_escape,403,52.96,44,1
2025-08-20T19:04:12.249Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,5,suspicious_quotes_or_escape,429,9.87,62,1
2025-08-20T19:04:12.264Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,3,suspicious_quotes_or_escape,403,48.85,44,1
2025-08-20T19:04:12.324Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,1,suspicious_quotes_or_escape,201,138.37,245,1
2025-08-20T19:04:12.484Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,3,"authorization_header_present,suspicious_quotes_or_escape",500,42.36,46,1
2025-08-20T19:04:12.542Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,3,"authorization_header_present,suspicious_quotes_or_escape",200,160.78,14360,0
2025-08-20T19:04:12.720Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,4,suspicious_quotes_or_escape,429,22.86,62,1
2025-08-20T19:04:12.754Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,2,suspicious_quotes_or_escape,201,156.92,245,1
2025-08-20T19:04:12.917Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,1,"authorization_header_present,suspicious_quotes_or_escape",500,20.32,46,1
2025-08-20T19:04:12.945Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,1,"authorization_header_present,suspicious_quotes_or_escape",200,31.63,14360,0
2025-08-20T19:04:12.994Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,5,suspicious_quotes_or_escape,429,25.73,62,1
2025-08-20T19:04:13.027Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,3,suspicious_quotes_or_escape,201,159.19,245,1
2025-08-20T19:04:13.195Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,2,"authorization_header_present,suspicious_quotes_or_escape",500,19.11,46,1
2025-08-20T19:04:13.226Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,2,"authorization_header_present,suspicious_quotes_or_escape",200,53.05,14360,0
2025-08-20T19:04:13.307Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,1,suspicious_quotes_or_escape,403,17.65,44,1
2025-08-20T19:04:13.338Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,1,suspicious_quotes_or_escape,201,135.33,245,1
2025-08-20T19:04:13.482Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,3,"authorization_header_present,suspicious_quotes_or_escape",500,48.62,46,1
2025-08-20T19:04:13.536Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,3,"authorization_header_present,suspicious_quotes_or_escape",200,24.85,14360,0
2025-08-20T19:04:13.576Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,2,suspicious_quotes_or_escape,403,44.83,44,1
2025-08-20T19:04:13.633Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,2,suspicious_quotes_or_escape,201,142.07,245,1
2025-08-20T19:04:13.782Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,4,"authorization_header_present,suspicious_quotes_or_escape",429,5.53,62,1
