timestamp,http_method,endpoint,query_params_count,user_agent,authorization_present,ip_hash,content_length_bytes,num_fields,avg_field_length,failed_auth_attempts_last_10min,suspicious_patterns_detected,statusCode,duration_ms,responseSize,label_attack,kmeans_cluster,dbscan_cluster
2025-09-03T06:23:41.644Z,POST,/api/v1/auth/signin,0,python-requests/2.32.5,False,ddf72b6676cb429c9adf5335634fdb407bf3319e34499d9bc34885053678af4c,54,2,11.0,1,suspicious_quotes_or_escape,201,152.92,251,0,0,2
2025-09-03T06:23:41.809Z,POST,/api/v1/book,0,python-requests/2.32.5,True,ddf72b6676cb429c9adf5335634fdb407bf3319e34499d9bc34885053678af4c,81,3,12.333333333333334,1,"authorization_header_present,suspicious_quotes_or_escape",201,22.33,217,0,4,0
2025-09-03T06:23:41.848Z,GET,/api/v1/book,0,python-requests/2.32.5,True,ddf72b6676cb429c9adf5335634fdb407bf3319e34499d9bc34885053678af4c,0,0,0.0,1,"authorization_header_present,suspicious_quotes_or_escape",200,30.07,111433,0,2,1
2025-09-03T06:23:42.560Z,POST,/api/v1/auth/signup,0,python-requests/2.32.5,False,ddf72b6676cb429c9adf5335634fdb407bf3319e34499d9bc34885053678af4c,54,2,11.0,1,suspicious_quotes_or_escape,201,156.75,61,0,5,2
2025-09-03T06:23:42.726Z,POST,/api/v1/auth/signin,0,python-requests/2.32.5,False,ddf72b6676cb429c9adf5335634fdb407bf3319e34499d9bc34885053678af4c,54,2,11.0,1,suspicious_quotes_or_escape,201,356.03,251,0,0,2
2025-09-03T06:23:43.113Z,POST,/api/v1/book,0,python-requests/2.32.5,True,ddf72b6676cb429c9adf5335634fdb407bf3319e34499d9bc34885053678af4c,81,3,12.333333333333334,1,"authorization_header_present,suspicious_quotes_or_escape",201,22.14,217,0,4,0
2025-09-03T06:23:43.146Z,GET,/api/v1/book,0,python-requests/2.32.5,True,ddf72b6676cb429c9adf5335634fdb407bf3319e34499d9bc34885053678af4c,0,0,0.0,1,"authorization_header_present,suspicious_quotes_or_escape",200,26.46,111618,0,2,1
2025-09-03T06:23:44.207Z,POST,/api/v1/auth/signup,0,python-requests/2.32.5,False,ddf72b6676cb429c9adf5335634fdb407bf3319e34499d9bc34885053678af4c,54,2,11.0,1,suspicious_quotes_or_escape,201,145.26,61,0,5,2
2025-09-03T06:23:44.362Z,POST,/api/v1/auth/signin,0,python-requests/2.32.5,False,ddf72b6676cb429c9adf5335634fdb407bf3319e34499d9bc34885053678af4c,54,2,11.0,1,suspicious_quotes_or_escape,201,131.25,251,0,0,2
2025-09-03T06:23:44.499Z,POST,/api/v1/book,0,python-requests/2.32.5,True,ddf72b6676cb429c9adf5335634fdb407bf3319e34499d9bc34885053678af4c,81,3,12.333333333333334,1,"authorization_header_present,suspicious_quotes_or_escape",201,35.41,217,0,4,0
